time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Short term fuel % trim - Bank 1 (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
08:05:18.731,9.39810990846225,5.781106306109043,14.946032518769854,15.810075059479,9.369492997268296,11.003198187182228,-0.57325,,11.667903048932416,2.6568612946125243,,3.3531253928888924,0.432199,136.26096299999998,49.782566,,1769,1.8,1,0.35574844333156985,0.073072,9.116212,3.14817,40.911070983130536,8.40328,813.7522138200001,362.03955,10.394167182662995,36,44,,,,,,,6.666666666666667,,0.018871715875404288,31,
08:05:18.972,9.406191148638817,5.8560376131375,14.945903254423845,15.809499946330499,9.37741924111667,11.003198187182228,-0.57325,,11.667903048932416,2.2697176585623198,,3.3531253928888924,0.432199,136.26096299999998,49.782566,,1786,1.8,1,0.35648067744978035,0.073804,9.116944000000002,3.148902,40.99527790672474,8.487459999999999,813.83639382,362.12373,8.879584661938395,36,44,,,,,,,6.666666666666667,,0.018871715875404288,31,
08:05:19.194,9.406191148638817,5.8560376131375,14.945903254423845,15.809499946330499,9.37741924111667,11.025318842788483,-0.57325,,14.098669884900742,2.2697176585623198,,3.3634098995555592,0.442484,136.27124799999999,49.792851000000006,,1786,1.8,1,0.35648067744978035,0.073804,9.116944000000002,3.148902,40.99527790672474,8.487459999999999,813.83639382,362.12373,8.879584661938395,36,44,,,,,,,6.666666666666667,,0.025007953405249306,32,
08:05:19.405,9.406191148638817,5.8560376131375,14.945903254423845,15.809499946330499,9.37741924111667,11.025318842788483,-0.57325,,14.098669884900742,2.2697176585623198,,3.3634098995555592,0.442484,136.27124799999999,49.792851000000006,,1786,1.8,1,0.35648067744978035,0.073804,9.116944000000002,3.148902,40.99527790672474,8.487459999999999,813.83639382,362.12373,8.879584661938395,36,44,,,,,,,6.666666666666667,,0.025007953405249306,32,
08:05:19.889,9.406191148638817,5.8560376131375,14.945903254423845,15.809499946330499,9.37741924111667,11.025318842788483,-0.57325,,14.098669884900742,2.2697176585623198,,3.3634098995555592,0.442484,136.27124799999999,49.792851000000006,,1786,1.8,1,0.35648067744978035,0.073804,9.116944000000002,3.148902,40.99527790672474,8.487459999999999,813.83639382,362.12373,8.879584661938395,36,44,,,,,,,6.666666666666667,,0.025007953405249306,32,
08:05:20.125,9.415979592096512,5.93731046882967,14.945847764109802,15.809141345125642,9.386043663215668,11.025318842788483,-0.57325,,14.098669884900742,2.253196757352179,,3.3634098995555592,0.442484,136.27124799999999,49.792851000000006,,1773,1.8,1,0.35720233531290824,0.074526,9.117666000000002,3.149624,41.07826856098445,8.57049,813.91942382,362.20676000000003,8.814951626885088,36,44,,,,,,,6.666666666666667,,0.025007953405249306,32,
08:05:20.341,9.415979592096512,5.93731046882967,14.945847764109802,15.809141345125642,9.386043663215668,11.046180017425547,-0.57325,,13.75823034488534,2.253196757352179,,3.3732968656111146,0.452371,136.28113499999998,49.802738000000005,,1773,1.8,1,0.35720233531290824,0.074526,9.117666000000002,3.149624,41.07826856098445,8.57049,813.91942382,362.20676000000003,8.814951626885088,36,44,,,,,,,6.666666666666667,,0.025007953405249306,31,
08:05:20.568,9.415979592096512,5.93731046882967,14.945847764109802,15.809141345125642,9.386043663215668,11.046180017425547,-0.77325,,13.75823034488534,2.253196757352179,,3.3732968656111146,0.452371,136.28113499999998,49.802738000000005,,1773,1.8,1,0.35720233531290824,0.074526,9.117666000000002,3.149624,41.07826856098445,8.57049,813.91942382,362.20676000000003,8.814951626885088,36,24,,,,,,,6.666666666666667,,0.025007953405249306,31,
08:05:21.013,9.415979592096512,5.93731046882967,14.945847764109802,15.809141345125642,9.386043663215668,11.046180017425547,-0.77325,,13.75823034488534,2.253196757352179,,3.3732968656111146,0.452371,136.28113499999998,49.802738000000005,,1773,1.8,1,0.35720233531290824,0.074526,9.117666000000002,3.149624,41.07826856098445,8.57049,813.91942382,362.20676000000003,8.814951626885088,36,24,,,,,,,0,,0.025007953405249306,31,
08:05:21.246,9.43594904821806,6.0462856531850635,14.946453471270647,15.810814637596687,9.395729988575978,11.046180017425547,-0.77325,,13.75823034488534,0.9371856686479456,,3.3732968656111146,0.452371,136.28113499999998,49.802738000000005,,1352,1.4,1,0.3574941797982841,0.074818,9.117958000000002,3.149916,41.11183067680267,8.60407,813.95300382,362.24034,3.6664558066600974,36,24,,,,,,,0,,0.025007953405249306,31,
