"SECONDS";"PID";"VALUE";"UNITS";
"35692.4799553";"Distance travelled (Today)";"0";"km";
"35692.4799553";"Distance travelled (total)";"65.957169";"km";
"35692.4799553";"Distance travelled (Week)";"65.957169";"km";
"35692.4799553";"Vehicle acceleration";"0";"g";
"35692.4799553";"Vehicle speed";"0";"km/h";
"35692.8127118";"Engine RPM";"1183";"rpm";
"35692.8127118";"Engine RPM x1000";"1.2";"rpm";
"35693.1461059";"Average speed";"0";"km/h";
"35693.1461059";"Distance travelled";"0";"km";
"35693.1461059";"Distance travelled (Today)";"0";"km";
"35693.1461059";"Distance travelled (total)";"65.957169";"km";
"35693.1461059";"Distance travelled (Week)";"65.957169";"km";
"35693.1461059";"Vehicle acceleration";"0";"g";
"35693.1461059";"Vehicle speed";"0";"km/h";
"35693.4939773";"Engine RPM";"1136";"rpm";
"35693.4939773";"Engine RPM x1000";"1.1";"rpm";
"35693.8569849";"Engine coolant temperature";"38";"℃";
"35694.1922368";"Average speed";"0";"km/h";
"35694.1922368";"Distance travelled";"0";"km";
"35694.1922368";"Distance travelled (Today)";"0";"km";
"35694.1922368";"Distance travelled (total)";"65.957169";"km";
"35694.1922368";"Distance travelled (Week)";"65.957169";"km";
"35694.1922368";"Vehicle acceleration";"0";"g";
"35694.1922368";"Vehicle speed";"0";"km/h";
"35694.6749478";"Engine RPM";"1160";"rpm";
"35694.6749478";"Engine RPM x1000";"1.2";"rpm";
"35694.9756304";"Average speed";"0";"km/h";
"35694.9756304";"Distance travelled";"0";"km";
"35694.9756304";"Distance travelled (Today)";"0";"km";
"35694.9756304";"Distance travelled (total)";"65.957169";"km";
"35694.9756304";"Distance travelled (Week)";"65.957169";"km";
"35694.9756304";"Vehicle acceleration";"0";"g";
"35694.9756304";"Vehicle speed";"0";"km/h";
"35695.3259987";"Engine RPM";"1174";"rpm";
"35695.3259987";"Engine RPM x1000";"1.2";"rpm";
"35695.6400605";"Engine coolant temperature";"39";"℃";
"35695.913377";"Average speed";"0";"km/h";
"35695.913377";"Distance travelled";"0";"km";
"35695.913377";"Distance travelled (Today)";"0";"km";
