time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
15:01:52.336,,,,,,0,,,,0,0,86.47839699999999,0,53,1077,1.1,,,,,,,,,,,33,,,0,0,
15:01:52.733,,,,,,0,,,,0,0,86.47839699999999,0,53,1102,1.1,,,,,,,,,,,33,,,0,0,
15:01:53.016,,,,,,0,,,,0,0,86.47839699999999,0,53,1102,1.1,,,,,,,,,,,33,,,0,0,
15:01:53.216,,,,,,0,,,,0,0,86.47839699999999,0,53,1102,1.1,,,,,,,,,,,33,,,0,0,
15:01:53.616,,,,,,0,,,,0,0,86.47839699999999,0,53,1097,1.1,,,,,,,,,,,33,,,0,0,
15:01:53.849,,,,,,0,,,,0,0,86.47839699999999,0,53,1097,1.1,,,,,,,,,,,33,,,0,0,
15:01:54.300,,,,,,0,,,,0,0,86.47839699999999,0,53,1076,1.1,,,,,,,,,,,33,,,0,0,
15:01:54.591,,,,,,0,,,,0,0,86.47839699999999,0,53,1076,1.1,,,,,,,,,,,33,,,0,0,
15:01:54.833,,,,,,0,,,,0,0,86.47839699999999,0,53,1076,1.1,,,,,,,,,,,33,,,0,0,
15:01:55.220,,,,,,0,,,,0,0,86.47839699999999,0,53,1086,1.1,,,,,,,,,,,33,,,0,0,
15:01:55.501,,,,,,0,,,,0,0,86.47839699999999,0,53,1086,1.1,,,,,,,,,,,33,,,0,0,
15:01:55.900,,,,,,0,,,,0,0,86.47839699999999,0,53,1097,1.1,,,,,,,,,,,33,,,0,0,
15:01:56.134,,,,,,0,,,,0,0,86.47839699999999,0,54,1097,1.1,,,,,,,,,,,33,,,0,0,
15:01:56.350,,,,,,0,,,,0,0,86.47839699999999,0,54,1097,1.1,,,,,,,,,,,33,,,0,0,
15:01:56.667,,,,,,0,,,,0,0,86.47839699999999,0,54,1079,1.1,,,,,,,,,,,33,,,0,0,
15:01:56.904,,,,,,0,,,,0,0,86.47839699999999,0,54,1079,1.1,,,,,,,,,,,33,,,0,0,
15:01:57.300,,,,,,0,,,,0,0,86.47839699999999,0,54,1081,1.1,,,,,,,,,,,33,,,0,0,
15:01:57.582,,,,,,0,,,,0,0,86.47839699999999,0,54,1081,1.1,,,,,,,,,,,33,,,0,0,
15:01:57.833,,,,,,0,,,,0,0,86.47839699999999,0,54,1081,1.1,,,,,,,,,,,33,,,0,0,
15:01:58.116,,,,,,0,,,,0,0,86.47839699999999,0,54,1078,1.1,,,,,,,,,,,33,,,0,0,
15:01:58.417,,,,,,0,,,,0,0,86.47839699999999,0,54,1078,1.1,,,,,,,,,,,33,,,0,0,
15:01:58.717,,,,,,0,,,,0,0,86.47839699999999,0,54,1093,1.1,,,,,,,,,,,33,,,0,0,
15:01:58.950,,,,,,0,,,,0,0,86.47839699999999,0,54,1093,1.1,,,,,,,,,,,33,,,0,0,
15:01:59.167,,,,,,0,,,,0,0,86.47839699999999,0,54,1093,1.1,,,,,,,,,,,33,,,0,0,
15:01:59.450,,,,,,0,,,,0,0,86.47839699999999,0,54,1101,1.1,,,,,,,,,,,33,,,0,0,
15:01:59.700,,,,,,0,,,,0,0,86.47839699999999,0,54,1101,1.1,,,,,,,,,,,33,,,0,0,
15:02:00.001,,,,,,0,,,,0,0,86.47839699999999,0,54,1056,1.1,,,,,,,,,,,33,,,0,0,
15:02:00.219,,,,,,0,,,,0,0,86.47839699999999,0,54,1056,1.1,,,,,,,,,,,33,,,0,0,
15:02:00.476,,,,,,0,,,,0,0,86.47839699999999,0,54,1056,1.1,,,,,,,,,,,33,,,0,0,
15:02:00.772,,,,,,0,,,,0,0,86.47839699999999,0,54,1094,1.1,,,,,,,,,,,33,,,0,0,
15:02:01.070,,,,,,0,,,,0,0,86.47839699999999,0,54,1094,1.1,,,,,,,,,,,33,,,0,0,
15:02:01.400,,,,,,0,,,,0,0,86.47839699999999,0,54,1092,1.1,,,,,,,,,,,33,,,0,0,
15:02:01.685,,,,,,0,,,,0,0,86.47839699999999,0,54,1092,1.1,,,,,,,,,,,33,,,0,0,
15:02:01.917,,,,,,0,,,,0,0,86.47839699999999,0,54,1092,1.1,,,,,,,,,,,33,,,0,0,
15:02:02.217,,,,,,0,,,,0,0,86.47839699999999,0,54,1019,1,,,,,,,,,,,33,,,0,0,
15:02:02.507,,,,,,0,,,,0,0,86.47839699999999,0,54,1019,1,,,,,,,,,,,33,,,0,0,
15:02:02.849,,,,,,0,,,,0,0,86.47839699999999,0,54,1026,1,,,,,,,,,,,33,,,0,0,
15:02:03.149,,,,,,0,,,,0,0,86.47839699999999,0,54,1026,1,,,,,,,,,,,33,,,0,0,
15:02:03.367,,,,,,0,,,,0,0,86.47839699999999,0,54,1026,1,,,,,,,,,,,33,,,0,0,
15:02:03.749,,,,,,0,,,,0,0,86.47839699999999,0,54,1067,1.1,,,,,,,,,,,33,,,0,0,
15:02:04.049,,,,,,0,,,,0,0,86.47839699999999,0,54,1067,1.1,,,,,,,,,,,33,,,0,0,
15:02:04.370,,,,,,0,,,,0,0,86.47839699999999,0,54,1054,1.1,,,,,,,,,,,33,,,0,0,
15:02:04.688,,,,,,0,,,,0,0,86.47839699999999,0,54,1054,1.1,,,,,,,,,,,33,,,0,0,
15:02:04.916,,,,,,0,,,,0,0,86.47839699999999,0,54,1054,1.1,,,,,,,,,,,33,,,0,0,
15:02:05.303,,,,,,0,,,,0,0,86.47839699999999,0,54,1039,1,,,,,,,,,,,33,,,0,0,
15:02:05.605,,,,,,0,,,,0,0,86.47839699999999,0,54,1039,1,,,,,,,,,,,33,,,0,0,
15:02:05.903,,,,,,0,,,,0,0,86.47839699999999,0,54,1099,1.1,,,,,,,,,,,33,,,0,0,
15:02:06.216,,,,,,0,,,,0,0,86.47839699999999,0,54,1099,1.1,,,,,,,,,,,33,,,0,0,
15:02:06.455,,,,,,0,,,,0,0,86.47839699999999,0,54,1099,1.1,,,,,,,,,,,33,,,0,0,
15:02:06.770,,,,,,0,,,,0,0,86.47839699999999,0,54,1092,1.1,,,,,,,,,,,33,,,0,0,
15:02:07.050,,,,,,0,,,,0,0,86.47839699999999,0,54,1092,1.1,,,,,,,,,,,33,,,0,0,
15:02:07.383,,,,,,0,,,,0,0,86.47839699999999,0,54,1079,1.1,,,,,,,,,,,33,,,0,0,
15:02:07.685,,,,,,0,,,,0,0,86.47839699999999,0,55,1079,1.1,,,,,,,,,,,33,,,0,0,
15:02:07.887,,,,,,0,,,,0,0,86.47839699999999,0,55,1079,1.1,,,,,,,,,,,33,,,0,0,
15:02:08.205,,,,,,0,,,,0,0,86.47839699999999,0,55,1016,1,,,,,,,,,,,33,,,0,0,
15:02:08.419,,,,,,0,,,,0,0,86.47839699999999,0,55,1016,1,,,,,,,,,,,33,,,0,0,
15:02:08.731,,,,,,0,,,,0,0,86.47839699999999,0,55,1014,1,,,,,,,,,,,33,,,0,0,
15:02:08.955,,,,,,0,,,,0,0,86.47839699999999,0,55,1014,1,,,,,,,,,,,33,,,0,0,
15:02:09.199,,,,,,0,,,,0,0,86.47839699999999,0,55,1014,1,,,,,,,,,,,33,,,0,0,
15:02:09.517,,,,,,0,,,,0,0,86.47839699999999,0,55,1042,1,,,,,,,,,,,33,,,0,0,
15:02:09.821,,,,,,0,,,,0,0,86.47839699999999,0,55,1042,1,,,,,,,,,,,33,,,0,0,
15:02:10.135,,,,,,0,,,,0,0,86.47839699999999,0,55,1070,1.1,,,,,,,,,,,33,,,0,0,
15:02:10.417,,,,,,0,,,,0,0,86.47839699999999,0,55,1070,1.1,,,,,,,,,,,33,,,0,0,
15:02:10.683,,,,,,0,,,,0,0,86.47839699999999,0,55,1070,1.1,,,,,,,,,,,33,,,0,0,
15:02:11.084,,,,,,0,,,,0,0,86.47839699999999,0,55,1051,1.1,,,,,,,,,,,33,,,0,0,
15:02:11.434,,,,,,0,,,,0,0,86.47839699999999,0,55,1051,1.1,,,,,,,,,,,33,,,0,0,
15:02:11.801,,,,,,0,,,,0,0,86.47839699999999,0,55,1097,1.1,,,,,,,,,,,33,,,0,0,
15:02:12.116,,,,,,0,,,,0,0,86.47839699999999,0,55,1097,1.1,,,,,,,,,,,33,,,0,0,
15:02:12.382,,,,,,0,,,,0,0,86.47839699999999,0,55,1097,1.1,,,,,,,,,,,33,,,0,0,
15:02:12.750,,,,,,0,,,,0,0,86.47839699999999,0,55,1080,1.1,,,,,,,,,,,33,,,0,0,
15:02:13.001,,,,,,0,,,,0,0,86.47839699999999,0,55,1080,1.1,,,,,,,,,,,33,,,0,0,
15:02:13.381,,,,,,0,,,,0,0,86.47839699999999,0,55,1052,1.1,,,,,,,,,,,33,,,0,0,
15:02:13.715,,,,,,0,,,,0,0,86.47839699999999,0,56,1052,1.1,,,,,,,,,,,33,,,0,0,
15:02:13.987,,,,,,0,,,,0,0,86.47839699999999,0,56,1052,1.1,,,,,,,,,,,33,,,0,0,
15:02:14.370,,,,,,0,,,,0,0,86.47839699999999,0,56,1067,1.1,,,,,,,,,,,33,,,0,0,
15:02:14.605,,,,,,0,,,,0,0,86.47839699999999,0,56,1067,1.1,,,,,,,,,,,33,,,0,0,
15:02:14.950,,,,,,0,,,,0,0,86.47839699999999,0,56,1053,1.1,,,,,,,,,,,33,,,0,0,
15:02:15.201,,,,,,0,,,,0,0,86.47839699999999,0,56,1053,1.1,,,,,,,,,,,33,,,0,0,
15:02:15.517,,,,,,0,,,,0,0,86.47839699999999,0,56,1053,1.1,,,,,,,,,,,33,,,0,0,
15:02:15.799,,,,,,0,,,,0,0,86.47839699999999,0,56,1058,1.1,,,,,,,,,,,33,,,0,0,
15:02:16.050,,,,,,0,,,,0,0,86.47839699999999,0,56,1058,1.1,,,,,,,,,,,33,,,0,0,
15:02:16.416,,,,,,0,,,,0,0,86.47839699999999,0,56,1060,1.1,,,,,,,,,,,33,,,0,0,
15:02:16.700,,,,,,0,,,,0,0,86.47839699999999,0,56,1060,1.1,,,,,,,,,,,33,,,0,0,
15:02:17.018,,,,,,0,,,,0,0,86.47839699999999,0,56,1060,1.1,,,,,,,,,,,33,,,0,0,
15:02:17.334,,,,,,0,,,,0,0,86.47839699999999,0,56,1072,1.1,,,,,,,,,,,33,,,0,0,
15:02:17.701,,,,,,0,,,,0,0,86.47839699999999,0,56,1072,1.1,,,,,,,,,,,33,,,0,0,
15:02:18.034,,,,,,0,,,,0,0,86.47839699999999,0,56,1084,1.1,,,,,,,,,,,33,,,0,0,
15:02:18.266,,,,,,0,,,,0,0,86.47839699999999,0,57,1084,1.1,,,,,,,,,,,33,,,0,0,
15:02:18.587,,,,,,0,,,,0,0,86.47839699999999,0,57,1084,1.1,,,,,,,,,,,33,,,0,0,
15:02:18.952,,,,,,0,,,,0,0,86.47839699999999,0,57,1058,1.1,,,,,,,,,,,33,,,0,0,
15:02:19.282,,,,,,0,,,,0,0,86.47839699999999,0,57,1058,1.1,,,,,,,,,,,33,,,0,0,
15:02:19.583,,,,,,0,,,,0,0,86.47839699999999,0,57,1044,1,,,,,,,,,,,33,,,0,0,
15:02:19.815,,,,,,0,,,,0,0,86.47839699999999,0,57,1044,1,,,,,,,,,,,33,,,0,0,
15:02:20.248,,,,,,0,,,,0,0,86.47839699999999,0,57,1044,1,,,,,,,,,,,33,,,0,0,
15:02:20.666,,,,,,0,,,,0,0,86.47839699999999,0,57,1032,1,,,,,,,,,,,33,,,0,0,
15:02:20.984,,,,,,0,,,,0,0,86.47839699999999,0,57,1032,1,,,,,,,,,,,33,,,0,0,
15:02:21.367,,,,,,0,,,,0,0,86.47839699999999,0,57,1045,1,,,,,,,,,,,33,,,0,0,
15:02:21.668,,,,,,0,,,,0,0,86.47839699999999,0,57,1045,1,,,,,,,,,,,33,,,0,0,
15:02:21.967,,,,,,0,,,,0,0,86.47839699999999,0,57,1045,1,,,,,,,,,,,33,,,0,0,
15:02:22.299,,,,,,0,,,,0,0,86.47839699999999,0,57,1055,1.1,,,,,,,,,,,33,,,0,0,
15:02:22.616,,,,,,0,,,,0,0,86.47839699999999,0,57,1055,1.1,,,,,,,,,,,33,,,0,0,
15:02:22.997,,,,,,0,,,,0,0,86.47839699999999,0,57,1031,1,,,,,,,,,,,33,,,0,0,
15:02:23.250,,,,,,0,,,,0,0,86.47839699999999,0,57,1031,1,,,,,,,,,,,33,,,0,0,
15:02:23.548,,,,,,0,,,,0,0,86.47839699999999,0,57,1031,1,,,,,,,,,,,33,,,0,0,
15:02:23.984,,,,,,0,,,,0,0,86.47839699999999,0,57,1041,1,,,,,,,,,,,33,,,0,0,
15:02:24.350,,,,,,0,,,,0,0,86.47839699999999,0,57,1041,1,,,,,,,,,,,33,,,0,0,
15:02:24.684,,,,,,0,,,,0,0,86.47839699999999,0,57,1024,1,,,,,,,,,,,33,,,0,0,
15:02:24.899,,,,,,0,,,,0,0,86.47839699999999,0,57,1024,1,,,,,,,,,,,33,,,0,0,
15:02:25.147,,,,,,0,,,,0,0,86.47839699999999,0,57,1024,1,,,,,,,,,,,33,,,0,0,
15:02:25.467,,,,,,0,,,,0,0,86.47839699999999,0,57,1042,1,,,,,,,,,,,33,,,0,0,
15:02:25.749,,,,,,0,,,,0,0,86.47839699999999,0,57,1042,1,,,,,,,,,,,33,,,0,0,
15:02:26.050,,,,,,0,,,,0,0,86.47839699999999,0,57,1033,1,,,,,,,,,,,33,,,0,0,
15:02:26.267,,,,,,0,,,,0,0,86.47839699999999,0,57,1033,1,,,,,,,,,,,33,,,0,0,
15:02:26.500,,,,,,0,,,,0,0,86.47839699999999,0,57,1033,1,,,,,,,,,,,33,,,0,0,
15:02:26.816,,,,,,0,,,,0,0,86.47839699999999,0,57,1038,1,,,,,,,,,,,33,,,0,0,
15:02:27.050,,,,,,0,,,,0,0,86.47839699999999,0,57,1038,1,,,,,,,,,,,33,,,0,0,
15:02:27.434,,,,,,0,,,,0,0,86.47839699999999,0,57,1040,1,,,,,,,,,,,33,,,0,0,
15:02:27.683,,,,,,0,,,,0,0,86.47839699999999,0,58,1040,1,,,,,,,,,,,33,,,0,0,
15:02:27.953,,,,,,0,,,,0,0,86.47839699999999,0,58,1040,1,,,,,,,,,,,33,,,0,0,
15:02:28.269,,,,,,0,,,,0,0,86.47839699999999,0,58,1052,1.1,,,,,,,,,,,33,,,0,0,
15:02:28.635,,,,,,0,,,,0,0,86.47839699999999,0,58,1052,1.1,,,,,,,,,,,33,,,0,0,
15:02:29.046,,,,,,0,,,,0,0,86.47839699999999,0,58,1042,1,,,,,,,,,,,33,,,0,0,
15:02:29.361,,,,,,0,,,,0,0,86.47839699999999,0,58,1042,1,,,,,,,,,,,33,,,0,0,
15:02:29.565,,,,,,0,,,,0,0,86.47839699999999,0,58,1042,1,,,,,,,,,,,33,,,0,0,
15:02:29.884,,,,,,0,,,,0,0,86.47839699999999,0,58,1071,1.1,,,,,,,,,,,33,,,0,0,
15:02:30.117,,,,,,0.011448715695616417,,,,0.00015212997222222222,0.000152,86.47854899999999,0.000152,58,1071,1.1,,,,,,,,,,,33,,,0.009235653902592058,1,
15:02:30.465,,,,,,0.011448715695616417,,,,0.00015212997222222222,0.000152,86.47854899999999,0.000152,58,1076,1.1,,,,,,,,,,,33,,,0.009235653902592058,1,
15:02:30.734,,,,,,0.011448715695616417,,,,0.00015212997222222222,0.000152,86.47854899999999,0.000152,58,1076,1.1,,,,,,,,,,,33,,,0.009235653902592058,1,
15:02:30.949,,,,,,0.02842303039036004,,,,0.0003842823055555556,0.000384,86.47878099999998,0.000384,58,1076,1.1,,,,,,,,,,,33,,,0.009455217982453133,1,
15:02:31.250,,,,,,0.02842303039036004,,,,0.0003842823055555556,0.000384,86.47878099999998,0.000384,58,1129,1.1,,,,,,,,,,,33,,,0.009455217982453133,1,
15:02:31.488,,,,,,0.0386473423371667,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1129,1.1,,,,,,,,,,,33,,,0.00993006379031082,1,
15:02:31.884,,,,,,0.0386473423371667,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1154,1.2,,,,,,,,,,,33,,,0.00993006379031082,1,
15:02:32.182,,,,,,0.0386473423371667,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1154,1.2,,,,,,,,,,,33,,,0.00993006379031082,1,
15:02:32.416,,,,,,0.03791647250996383,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1154,1.2,,,,,,,,,,,33,,,0,0,
15:02:32.717,,,,,,0.03791647250996383,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1035,1,,,,,,,,,,,33,,,0,0,
15:02:32.951,,,,,,0.03751601814850268,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1035,1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:33.267,,,,,,0.03751601814850268,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,58,1124,1.1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:33.566,,,,,,0.03751601814850268,,,,0.0005280731944444445,0.000528,86.47892499999999,0.000528,59,1124,1.1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:33.804,,,,,,0.05350628457094659,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1124,1.1,,,,,,,,,,,33,,,-0.009993646632848402,1,
15:02:34.088,,,,,,0.05350628457094659,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1112,1.1,,,,,,,,,,,33,,,-0.009993646632848402,1,
15:02:34.437,,,,,,0.05285990629153462,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1112,1.1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:34.766,,,,,,0.05285990629153462,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,968,1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:35.017,,,,,,0.05285990629153462,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,968,1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:35.233,,,,,,0.05206477875360479,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,968,1,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:35.552,,,,,,0.05206477875360479,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1482,1.5,,,,,,,,,,,33,,,-0.009993646632848402,0,
15:02:35.800,,,,,,0.05151489579765545,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1482,1.5,,,,,,,,,,,33,,,0,0,
15:02:36.199,,,,,,0.05151489579765545,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1401,1.4,,,,,,,,,,,33,,,0,0,
15:02:36.482,,,,,,0.05151489579765545,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1401,1.4,,,,,,,,,,,33,,,0,0,
15:02:36.818,,,,,,0.050552195217872485,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1401,1.4,,,,,,,,,,,33,,,-0.009400046739142616,0,
15:02:37.200,,,,,,0.050552195217872485,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1208,1.2,,,,,,,,,,,33,,,-0.009400046739142616,0,
15:02:37.484,,,,,,0.04994459929887549,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1208,1.2,,,,,,,,,,,33,,,0,0,
15:02:37.798,,,,,,0.04994459929887549,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,59,1127,1.1,,,,,,,,,,,33,,,0,0,
15:02:38.099,,,,,,0.04994459929887549,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1127,1.1,,,,,,,,,,,33,,,0,0,
15:02:38.335,,,,,,0.04918294583317591,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1127,1.1,,,,,,,,,,,33,,,0,0,
15:02:38.635,,,,,,0.04918294583317591,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1105,1.1,,,,,,,,,,,33,,,0,0,
15:02:38.872,,,,,,0.04871740880212476,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1105,1.1,,,,,,,,,,,33,,,0,0,
15:02:39.266,,,,,,0.04871740880212476,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1088,1.1,,,,,,,,,,,33,,,0,0,
15:02:39.582,,,,,,0.04871740880212476,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1088,1.1,,,,,,,,,,,33,,,0,0,
15:02:39.782,,,,,,0.0479454444896805,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1088,1.1,,,,,,,,,,,33,,,0,0,
15:02:40.116,,,,,,0.0479454444896805,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,851,0.9,,,,,,,,,,,33,,,0,0,
15:02:40.432,,,,,,0.047422973652784195,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,851,0.9,,,,,,,,,,,33,,,0,0,
15:02:40.867,,,,,,0.047422973652784195,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1202,1.2,,,,,,,,,,,33,,,0,0,
15:02:41.116,,,,,,0.047422973652784195,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1202,1.2,,,,,,,,,,,33,,,0,0,
15:02:41.349,,,,,,0.04667410071007123,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,1202,1.2,,,,,,,,,,,33,,,0,0,
15:02:41.764,,,,,,0.04667410071007123,,,,0.0007658751111111112,0.000766,86.47916299999999,0.000766,60,999,1,,,,,,,,,,,33,,,0,0,
15:02:42.017,,,,,,0.05727386938092902,,,,0.0009503736111111112,0.00095,86.47934699999999,0.00095,60,999,1,,,,,,,,,,,33,,,0.009006209260626303,1,
15:02:42.400,,,,,,0.05727386938092902,,,,0.0009503736111111112,0.00095,86.47934699999999,0.00095,60,990,1,,,,,,,,,,,33,,,0.009006209260626303,1,
15:02:42.750,,,,,,0.05727386938092902,,,,0.0009503736111111112,0.00095,86.47934699999999,0.00095,60,990,1,,,,,,,,,,,33,,,0.009006209260626303,1,
