time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
15:01:41.595,,,,,,,,,,,,,,,1109,1.1,,,,,,,,,,,,,,,,
15:01:41.918,,,,,,,,,,,,,,51,1109,1.1,,,,,,,,,,,,,,,,
15:01:42.270,,,,,,,,,,,,,,51,1109,1.1,,,,,,,,,,,,,,,0,
15:01:42.624,,,,,,,,,,,,,,51,1099,1.1,,,,,,,,,,,,,,,0,
15:01:42.855,,,,,,,,,,,,,,51,1099,1.1,,,,,,,,,,,33,,,,0,
15:01:43.156,,,,,,0,,,,0,0,86.47839699999999,0,51,1099,1.1,,,,,,,,,,,33,,,,0,
15:01:43.487,,,,,,0,,,,0,0,86.47839699999999,0,51,1099,1.1,,,,,,,,,,,33,,,,0,
15:01:43.721,,,,,,0,,,,0,0,86.47839699999999,0,51,1099,1.1,,,,,,,,,,,33,,,,0,
15:01:43.959,,,,,,0,,,,0,0,86.47839699999999,0,51,1099,1.1,,,,,,,,,,,33,,,,0,
15:01:44.191,,,,,,0,,,,0,0,86.47839699999999,0,51,1084,1.1,,,,,,,,,,,33,,,,0,
15:01:44.467,,,,,,0,,,,0,0,86.47839699999999,0,51,1084,1.1,,,,,,,,,,,33,,,,0,
15:01:44.783,,,,,,0,,,,0,0,86.47839699999999,0,51,1075,1.1,,,,,,,,,,,33,,,,0,
15:01:45.132,,,,,,0,,,,0,0,86.47839699999999,0,51,1075,1.1,,,,,,,,,,,33,,,,0,
15:01:45.384,,,,,,0,,,,0,0,86.47839699999999,0,51,1075,1.1,,,,,,,,,,,33,,,0,0,
15:01:45.717,,,,,,0,,,,0,0,86.47839699999999,0,51,1093,1.1,,,,,,,,,,,33,,,0,0,
15:01:46.083,,,,,,0,,,,0,0,86.47839699999999,0,51,1093,1.1,,,,,,,,,,,33,,,0,0,
15:01:46.437,,,,,,0,,,,0,0,86.47839699999999,0,51,1113,1.1,,,,,,,,,,,33,,,0,0,
15:01:46.755,,,,,,0,,,,0,0,86.47839699999999,0,52,1113,1.1,,,,,,,,,,,33,,,0,0,
15:01:47.019,,,,,,0,,,,0,0,86.47839699999999,0,52,1113,1.1,,,,,,,,,,,33,,,0,0,
15:01:47.320,,,,,,0,,,,0,0,86.47839699999999,0,52,1109,1.1,,,,,,,,,,,33,,,0,0,
15:01:47.536,,,,,,0,,,,0,0,86.47839699999999,0,52,1109,1.1,,,,,,,,,,,33,,,0,0,
15:01:47.888,,,,,,0,,,,0,0,86.47839699999999,0,52,1079,1.1,,,,,,,,,,,33,,,0,0,
15:01:48.185,,,,,,0,,,,0,0,86.47839699999999,0,52,1079,1.1,,,,,,,,,,,33,,,0,0,
15:01:48.535,,,,,,0,,,,0,0,86.47839699999999,0,52,1079,1.1,,,,,,,,,,,33,,,0,0,
15:01:48.888,,,,,,0,,,,0,0,86.47839699999999,0,52,1076,1.1,,,,,,,,,,,33,,,0,0,
15:01:49.169,,,,,,0,,,,0,0,86.47839699999999,0,52,1076,1.1,,,,,,,,,,,33,,,0,0,
15:01:49.621,,,,,,0,,,,0,0,86.47839699999999,0,52,1112,1.1,,,,,,,,,,,33,,,0,0,
15:01:49.854,,,,,,0,,,,0,0,86.47839699999999,0,52,1112,1.1,,,,,,,,,,,33,,,0,0,
15:01:50.104,,,,,,0,,,,0,0,86.47839699999999,0,52,1112,1.1,,,,,,,,,,,33,,,0,0,
15:01:50.520,,,,,,0,,,,0,0,86.47839699999999,0,52,1100,1.1,,,,,,,,,,,33,,,0,0,
15:01:50.788,,,,,,0,,,,0,0,86.47839699999999,0,52,1100,1.1,,,,,,,,,,,33,,,0,0,
15:01:51.110,,,,,,0,,,,0,0,86.47839699999999,0,52,1087,1.1,,,,,,,,,,,33,,,0,0,
15:01:51.385,,,,,,0,,,,0,0,86.47839699999999,0,53,1087,1.1,,,,,,,,,,,33,,,0,0,
15:01:51.637,,,,,,0,,,,0,0,86.47839699999999,0,53,1087,1.1,,,,,,,,,,,33,,,0,0,
15:01:52.019,,,,,,0,,,,0,0,86.47839699999999,0,53,1077,1.1,,,,,,,,,,,33,,,0,0,
