time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
08:35:36.992,,,,,,,-0.65325,,,,,,,,,,,,,,,,,,,,,,36,,,,
08:35:37.567,,,,,,,-0.65325,,,,,,,,,,,1,,,,,,,,,,,36,0,,,
08:35:39.392,,,,,,,-0.67325,,,,,,,,,,,1,,,,,,,,,,,34,0,,,
08:35:39.875,,,,,,,-0.67325,,,,,,,,,,,1,,,,,,,,,,,34,0,,,
08:35:40.120,,,,,,,-0.67325,,,1.3503953892142335,,,,,,1215,1.2,1,,,,,,,,,5.283014008541627,,34,0,,,
08:35:40.465,,,,,,,-0.67325,,,1.3503953892142335,,,,,,1215,1.2,1,,,,,,,,,5.283014008541627,,34,0,,0,
08:35:41.071,,,,,,,-0.67325,,,1.3503953892142335,,,,,,1215,1.2,1,,,,,,,,,5.283014008541627,,34,0,,0,
08:35:41.578,,,,,,,-0.67325,,,1.3503953892142335,,,,,,1215,1.2,1,,,,,,,,,5.283014008541627,,34,0,,0,
08:35:41.822,,,,,,,-0.67325,,,1.322609475855916,,,,,,1190,1.2,1,0.0006147971963628506,0.000615,9.587256,3.619214,0.07070167758172782,0.070725,867.9222738200001,416.20961,5.174310016596326,,34,0,,0,
08:35:42.235,,,,,,,-0.67325,,,1.322609475855916,,,,,,1190,1.2,1,0.0006147971963628506,0.000615,9.587256,3.619214,0.07070167758172782,0.070725,867.9222738200001,416.20961,5.174310016596326,30,34,0,,0,
08:35:42.467,,,,,,0,-0.67325,,,1.322609475855916,0,0,141.225674,54.747277000000004,,1190,1.2,1,0.0006147971963628506,0.000615,9.587256,3.619214,0.07070167758172782,0.070725,867.9222738200001,416.20961,5.174310016596326,30,34,0,,0,
08:35:42.854,,,,,,0,-0.68325,,,1.322609475855916,0,0,141.225674,54.747277000000004,,1190,1.2,1,0.0006147971963628506,0.000615,9.587256,3.619214,0.07070167758172782,0.070725,867.9222738200001,416.20961,5.174310016596326,30,33,0,,0,
08:35:43.312,,,,,,0,-0.68325,,,1.322609475855916,0,0,141.225674,54.747277000000004,,1190,1.2,1,0.0006147971963628506,0.000615,9.587256,3.619214,0.07070167758172782,0.070725,867.9222738200001,416.20961,5.174310016596326,30,33,0,,0,
