time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
08:59:58.219,,,,,,,-0.013250000000000029,,,,,,,,,,,,,,,,,,,,100,,,,
08:59:58.674,,,,,,,-0.013250000000000029,,,,,,,,,-1,,,,,,,,,,,100,0,,,
08:59:58.955,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,,,
08:59:59.290,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,,0,
08:59:59.537,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,,0,
08:59:59.965,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,,,,,,,,,0,,100,0,,0,
09:00:00.201,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,,100,0,,0,
09:00:00.506,,,,,,,-0.013250000000000029,,0,,,,,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,100,0,,0,
09:00:00.730,,,,,,0,-0.013250000000000029,,0,0,0,284.204318,0,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,100,0,,0,
09:00:01.051,,,,,,0,-0.023250000000000028,,0,0,0,284.204318,0,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,99,0,,0,
09:00:01.506,,,,,,0,-0.023250000000000028,,0,0,0,284.204318,0,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,99,0,,0,
09:00:01.730,,,16.86506562143618,,,0,-0.023250000000000028,,0,0,0,284.204318,0,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,99,0,,0,
09:00:02.062,,,16.86506562143618,,,0,-0.023250000000000028,,0,0,0,284.204318,0,0,0,-1,0,0,16.851658,0,0,0,1703.3285038200002,0,0,30,99,0,,0,
