time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Short term fuel % trim - Bank 1 (%)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",
08:56:06.445,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
08:56:06.736,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
08:56:07.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
08:56:07.391,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
08:56:07.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,
08:56:07.878,,,,,,0,,,,,,0,0,27.121357,27.121357,,,,,,,,,,,,,,,,,,,,,,,,,0,
08:56:12.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,
08:56:12.805,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:56:12.982,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
08:56:13.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
08:56:13.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,
08:56:13.991,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:56:14.225,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
08:56:14.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
08:56:14.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8125,,,,,,,,,,
08:56:14.961,,,,,,,-0.013250000000000029,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
